Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/sample,23,0,1,2.131496299230291,0.9381249838043004,8.078459009993821,82.0,2.5723009436366095,0.0,1,2,2,2,4,4,8,8,8,8,8
POST,/upload-swagger,20,0,1.1031659960281104,1.7801687499741092,1.1031659960281104,4.34179199510254,184.0,2.236783429249226,0.0,1,2,2,2,3,4,4,4,4,4,4
,Aggregated,43,0,1,1.9680881367855554,0.9381249838043004,8.078459009993821,129.4418604651163,4.8090843728858355,0.0,1,2,2,2,4,4,8,8,8,8,8
